Index,Type,Data
0,URLLC,21
1,URLLC,26
2,URLLC,17
3,URLLC,17
4,URLLC,30
5,URLLC,23
6,URLLC,20
7,URLLC,13
8,URLLC,24
9,URLLC,11
10,URLLC,17
11,URLLC,18
12,URLLC,11
13,URLLC,25
14,URLLC,19
15,URLLC,29
16,URLLC,17
17,URLLC,24
18,URLLC,13
19,URLLC,14
20,URLLC,29
21,URLLC,25
22,URLLC,23
23,URLLC,12
24,URLLC,21
25,URLLC,25
26,URLLC,12
27,URLLC,22
28,URLLC,27
29,URLLC,14
30,URLLC,20
31,URLLC,19
32,URLLC,11
33,URLLC,23
34,URLLC,29
35,URLLC,28
36,URLLC,10
37,URLLC,14
38,URLLC,25
39,URLLC,20
40,URLLC,27
41,URLLC,13
42,URLLC,18
43,URLLC,11
44,URLLC,12
45,URLLC,28
46,URLLC,26
47,URLLC,11
48,URLLC,29
49,URLLC,29
50,URLLC,28
51,URLLC,14
52,URLLC,28
53,URLLC,17
54,URLLC,19
55,URLLC,20
56,URLLC,21
57,URLLC,19
58,URLLC,16
59,URLLC,16
60,URLLC,29
61,URLLC,12
62,URLLC,28
63,URLLC,27
64,URLLC,25
65,URLLC,28
66,URLLC,25
67,URLLC,21
68,URLLC,15
69,URLLC,16
70,URLLC,10
71,URLLC,17
72,URLLC,12
73,URLLC,17
74,URLLC,16
75,URLLC,27
76,URLLC,18
77,URLLC,10
78,URLLC,30
79,URLLC,16
80,eMBB,172
81,eMBB,89
82,eMBB,177
83,eMBB,105
84,eMBB,241
85,eMBB,169
86,eMBB,218
87,eMBB,220
88,eMBB,245
89,eMBB,154
90,eMBB,236
91,eMBB,173
92,eMBB,204
93,eMBB,222
94,eMBB,145
95,eMBB,229
96,eMBB,164
97,eMBB,99
98,eMBB,209
99,eMBB,231
100,eMBB,231
101,eMBB,242
102,eMBB,87
103,eMBB,241
104,eMBB,103
105,eMBB,236
106,eMBB,157
107,eMBB,142
108,eMBB,161
109,eMBB,248
110,eMBB,110
111,eMBB,204
112,eMBB,146
113,eMBB,218
114,eMBB,113
115,eMBB,242
116,eMBB,212
117,eMBB,208
118,eMBB,174
119,eMBB,123
120,eMBB,213
121,eMBB,138
122,eMBB,201
123,eMBB,203
124,eMBB,86
125,eMBB,207
126,eMBB,159
127,eMBB,243
128,eMBB,191
129,eMBB,230
130,eMBB,127
131,eMBB,157
132,eMBB,127
133,eMBB,103
134,eMBB,198
135,eMBB,84
136,eMBB,188
137,eMBB,80
138,eMBB,143
139,eMBB,91
140,eMBB,93
141,eMBB,211
142,eMBB,122
143,eMBB,146
144,eMBB,135
145,eMBB,187
146,eMBB,137
147,eMBB,115
148,eMBB,180
149,eMBB,120
150,eMBB,205
151,eMBB,153
152,eMBB,97
153,eMBB,140
154,eMBB,189
155,eMBB,204
156,eMBB,123
157,eMBB,144
158,eMBB,208
159,eMBB,196
160,eMBB,209
161,eMBB,139
162,eMBB,152
163,eMBB,192
164,eMBB,143
165,eMBB,128
166,eMBB,167
167,eMBB,115
168,eMBB,234
169,eMBB,193
170,eMBB,188
171,eMBB,113
172,eMBB,170
173,eMBB,191
174,eMBB,143
175,eMBB,234
176,eMBB,196
177,eMBB,247
178,eMBB,88
179,eMBB,226
180,eMBB,134
181,eMBB,184
182,eMBB,205
183,eMBB,164
184,eMBB,144
185,eMBB,195
186,eMBB,161
187,eMBB,174
188,eMBB,141
189,eMBB,193
190,eMBB,87
191,eMBB,111
192,eMBB,244
193,eMBB,187
194,eMBB,98
195,eMBB,198
196,eMBB,182
197,eMBB,197
198,eMBB,112
199,eMBB,81
200,eMBB,176
201,eMBB,202
202,eMBB,119
203,eMBB,183
204,eMBB,103
205,eMBB,88
206,eMBB,244
207,eMBB,84
208,eMBB,117
209,eMBB,119
210,eMBB,157
211,eMBB,111
212,eMBB,143
213,eMBB,165
214,eMBB,80
215,eMBB,147
216,eMBB,133
217,eMBB,183
218,eMBB,94
219,eMBB,211
220,eMBB,227
221,eMBB,134
222,eMBB,110
223,eMBB,229
224,eMBB,104
225,eMBB,128
226,eMBB,242
227,eMBB,238
228,eMBB,228
229,eMBB,161
230,eMBB,149
231,eMBB,82
232,eMBB,125
233,eMBB,99
234,eMBB,138
235,eMBB,137
236,eMBB,83
237,eMBB,210
238,eMBB,153
239,eMBB,191
240,eMBB,96
241,eMBB,200
242,eMBB,238
243,eMBB,163
244,eMBB,230
245,eMBB,238
246,eMBB,213
247,eMBB,154
248,eMBB,216
249,eMBB,177
250,eMBB,157
251,eMBB,162
252,eMBB,118
253,eMBB,244
254,eMBB,144
255,eMBB,248
256,eMBB,206
257,eMBB,205
258,eMBB,131
259,eMBB,204
260,eMBB,237
261,eMBB,222
262,eMBB,89
263,eMBB,233
264,eMBB,109
265,eMBB,184
266,eMBB,150
267,eMBB,196
268,eMBB,181
269,eMBB,157
270,eMBB,148
271,eMBB,239
272,eMBB,93
273,eMBB,247
274,eMBB,223
275,eMBB,99
276,eMBB,85
277,eMBB,87
278,eMBB,102
279,eMBB,135
280,eMBB,85
281,eMBB,164
282,eMBB,154
283,eMBB,179
284,eMBB,200
285,eMBB,116
286,eMBB,94
287,eMBB,184
288,eMBB,101
289,eMBB,155
290,eMBB,128
291,eMBB,117
292,eMBB,184
293,eMBB,217
294,eMBB,177
295,eMBB,189
296,eMBB,223
297,eMBB,81
298,eMBB,170
299,eMBB,116
300,eMBB,153
301,eMBB,159
302,eMBB,193
303,eMBB,227
304,eMBB,200
305,eMBB,233
306,eMBB,133
307,eMBB,185
308,eMBB,196
309,eMBB,160
310,eMBB,85
311,eMBB,237
312,eMBB,162
313,eMBB,146
314,eMBB,101
315,eMBB,180
316,eMBB,186
317,eMBB,173
318,eMBB,161
319,eMBB,187
320,eMBB,214
321,eMBB,238
322,eMBB,153
323,eMBB,210
324,eMBB,152
325,eMBB,178
326,eMBB,145
327,eMBB,246
328,eMBB,229
329,eMBB,237
330,eMBB,220
331,eMBB,248
332,eMBB,88
333,eMBB,105
334,eMBB,130
335,eMBB,136
336,eMBB,202
337,eMBB,139
338,eMBB,185
339,eMBB,194
340,eMBB,232
341,eMBB,140
342,eMBB,154
343,eMBB,155
344,eMBB,225
345,eMBB,243
346,eMBB,152
347,eMBB,212
348,eMBB,109
349,eMBB,128
350,eMBB,148
351,eMBB,135
352,eMBB,109
353,eMBB,162
354,eMBB,182
355,eMBB,140
356,eMBB,236
357,eMBB,225
358,eMBB,136
359,eMBB,93
360,eMBB,241
361,eMBB,90
362,eMBB,172
363,eMBB,118
364,eMBB,245
365,eMBB,94
366,eMBB,96
367,eMBB,170
368,eMBB,167
369,eMBB,215
370,eMBB,96
371,eMBB,98
372,eMBB,158
373,eMBB,102
374,eMBB,147
375,eMBB,230
376,eMBB,216
377,eMBB,137
378,eMBB,220
379,eMBB,131
380,eMBB,100
381,eMBB,204
382,eMBB,249
383,eMBB,156
384,eMBB,155
385,eMBB,125
386,eMBB,93
387,eMBB,247
388,eMBB,134
389,eMBB,170
390,eMBB,126
391,eMBB,190
392,eMBB,241
393,eMBB,98
394,eMBB,239
395,eMBB,241
396,eMBB,207
397,eMBB,221
398,eMBB,129
399,eMBB,150
400,eMBB,150
401,eMBB,109
402,eMBB,101
403,eMBB,199
404,eMBB,136
405,eMBB,186
406,eMBB,199
407,eMBB,216
408,eMBB,90
409,eMBB,172
410,eMBB,136
411,eMBB,195
412,eMBB,98
413,eMBB,133
414,eMBB,82
415,eMBB,85
416,eMBB,201
417,eMBB,189
418,eMBB,226
419,eMBB,245
420,eMBB,176
421,eMBB,227
422,eMBB,158
423,eMBB,215
424,eMBB,109
425,eMBB,118
426,eMBB,193
427,eMBB,94
428,eMBB,126
429,eMBB,170
430,mMTC,19
431,mMTC,5
432,mMTC,14
433,mMTC,5
434,mMTC,20
435,mMTC,14
436,mMTC,9
437,mMTC,12
438,mMTC,19
439,mMTC,18
440,mMTC,20
441,mMTC,19
442,mMTC,18
443,mMTC,17
444,mMTC,15
445,mMTC,18
446,mMTC,12
447,mMTC,9
448,mMTC,14
449,mMTC,9
450,mMTC,12
451,mMTC,16
452,mMTC,18
453,mMTC,8
454,mMTC,20
455,mMTC,11
456,mMTC,6
457,mMTC,20
458,mMTC,19
459,mMTC,10
460,mMTC,18
461,mMTC,15
462,mMTC,11
463,mMTC,18
464,mMTC,20
465,mMTC,10
466,mMTC,9
467,mMTC,15
468,mMTC,6
469,mMTC,20
470,mMTC,9
471,mMTC,16
472,mMTC,12
473,mMTC,14
474,mMTC,15
475,mMTC,6
476,mMTC,13
477,mMTC,11
478,mMTC,7
479,mMTC,5
480,mMTC,12
481,mMTC,7
482,mMTC,9
483,mMTC,5
484,mMTC,13
485,mMTC,5
486,mMTC,13
487,mMTC,19
488,mMTC,19
489,mMTC,10
490,mMTC,20
491,mMTC,11
492,mMTC,8
493,mMTC,9
494,mMTC,17
495,mMTC,12
496,mMTC,20
497,mMTC,8
498,mMTC,7
499,mMTC,20
500,mMTC,9
501,mMTC,18
502,mMTC,15
503,mMTC,10
504,mMTC,7
505,mMTC,15
506,mMTC,17
507,mMTC,8
508,mMTC,19
509,mMTC,9
510,mMTC,11
511,mMTC,13
512,mMTC,18
513,mMTC,15
514,mMTC,8
515,mMTC,14
516,mMTC,15
517,mMTC,6
518,mMTC,19
519,mMTC,12
520,mMTC,10
521,mMTC,5
522,mMTC,14
523,mMTC,6
524,mMTC,6
525,mMTC,11
526,mMTC,8
527,mMTC,7
528,mMTC,7
529,mMTC,18
530,mMTC,13
531,mMTC,14
532,mMTC,14
533,mMTC,16
534,mMTC,11
535,mMTC,6
536,mMTC,16
537,mMTC,8
538,mMTC,15
539,mMTC,16
540,mMTC,10
541,mMTC,7
542,mMTC,17
543,mMTC,17
544,mMTC,19
545,mMTC,10
546,mMTC,9
547,mMTC,9
548,mMTC,13
549,mMTC,12
550,mMTC,7
551,mMTC,6
552,mMTC,16
553,mMTC,15
554,mMTC,20
555,mMTC,19
556,mMTC,7
557,mMTC,9
558,mMTC,5
559,mMTC,19
560,mMTC,18
561,mMTC,6
562,mMTC,20
563,mMTC,7
564,mMTC,20
565,mMTC,9
566,mMTC,6
567,mMTC,20
568,mMTC,15
569,mMTC,5
570,mMTC,5
571,mMTC,17
572,mMTC,20
573,mMTC,6
574,mMTC,18
575,mMTC,16
576,mMTC,18
577,mMTC,9
578,mMTC,5
579,mMTC,5
580,mMTC,11
581,mMTC,15
582,mMTC,16
583,mMTC,20
584,mMTC,7
585,mMTC,9
586,mMTC,10
587,mMTC,20
588,mMTC,13
589,mMTC,18
590,mMTC,12
591,mMTC,9
592,mMTC,18
593,mMTC,5
594,mMTC,19
595,mMTC,13
596,mMTC,9
597,mMTC,8
598,mMTC,19
599,mMTC,6
