Index,Type,Data
0,URLLC,26
1,URLLC,10
2,URLLC,15
3,URLLC,27
4,URLLC,19
5,URLLC,23
6,URLLC,23
7,URLLC,11
8,URLLC,23
9,URLLC,22
10,URLLC,28
11,URLLC,28
12,URLLC,10
13,URLLC,16
14,URLLC,15
15,URLLC,30
16,URLLC,13
17,URLLC,27
18,URLLC,14
19,URLLC,24
20,URLLC,14
21,URLLC,16
22,URLLC,23
23,URLLC,23
24,URLLC,24
25,URLLC,13
26,URLLC,29
27,URLLC,15
28,URLLC,25
29,URLLC,19
30,URLLC,27
31,URLLC,29
32,URLLC,28
33,URLLC,29
34,URLLC,18
35,URLLC,12
36,URLLC,16
37,URLLC,28
38,URLLC,22
39,URLLC,23
40,URLLC,12
41,URLLC,18
42,URLLC,19
43,URLLC,17
44,URLLC,19
45,URLLC,12
46,URLLC,23
47,URLLC,21
48,URLLC,20
49,URLLC,20
50,URLLC,12
51,URLLC,16
52,URLLC,26
53,URLLC,22
54,URLLC,27
55,URLLC,13
56,URLLC,30
57,URLLC,11
58,URLLC,20
59,URLLC,20
60,eMBB,79
61,eMBB,60
62,eMBB,123
63,eMBB,199
64,eMBB,63
65,eMBB,124
66,eMBB,140
67,eMBB,71
68,eMBB,151
69,eMBB,181
70,eMBB,119
71,eMBB,84
72,eMBB,157
73,eMBB,186
74,eMBB,175
75,eMBB,115
76,eMBB,193
77,eMBB,82
78,eMBB,160
79,eMBB,78
80,eMBB,69
81,eMBB,121
82,eMBB,190
83,eMBB,176
84,eMBB,123
85,eMBB,139
86,eMBB,82
87,eMBB,139
88,eMBB,115
89,eMBB,106
90,eMBB,157
91,eMBB,168
92,eMBB,112
93,eMBB,51
94,eMBB,146
95,eMBB,87
96,eMBB,92
97,eMBB,200
98,eMBB,140
99,eMBB,113
100,eMBB,50
101,eMBB,153
102,eMBB,83
103,eMBB,50
104,eMBB,141
105,eMBB,53
106,eMBB,183
107,eMBB,149
108,eMBB,107
109,eMBB,80
110,eMBB,135
111,eMBB,86
112,eMBB,175
113,eMBB,110
114,eMBB,152
115,eMBB,192
116,eMBB,132
117,eMBB,101
118,eMBB,154
119,eMBB,150
120,eMBB,67
121,eMBB,118
122,eMBB,87
123,eMBB,145
124,eMBB,122
125,eMBB,120
126,eMBB,122
127,eMBB,96
128,eMBB,107
129,eMBB,143
130,eMBB,198
131,eMBB,196
132,eMBB,186
133,eMBB,120
134,eMBB,88
135,eMBB,153
136,eMBB,145
137,eMBB,182
138,eMBB,120
139,eMBB,117
140,eMBB,77
141,eMBB,146
142,eMBB,103
143,eMBB,65
144,eMBB,149
145,eMBB,97
146,eMBB,186
147,eMBB,90
148,eMBB,148
149,eMBB,143
150,eMBB,188
151,eMBB,69
152,eMBB,99
153,eMBB,161
154,eMBB,144
155,eMBB,51
156,eMBB,151
157,eMBB,178
158,eMBB,165
159,eMBB,107
160,eMBB,80
161,eMBB,83
162,eMBB,79
163,eMBB,113
164,eMBB,128
165,eMBB,91
166,eMBB,148
167,eMBB,183
168,eMBB,184
169,eMBB,50
170,eMBB,84
171,eMBB,53
172,eMBB,84
173,eMBB,164
174,eMBB,186
175,eMBB,132
176,eMBB,158
177,eMBB,147
178,eMBB,160
179,eMBB,65
180,eMBB,113
181,eMBB,184
182,eMBB,57
183,eMBB,169
184,eMBB,123
185,eMBB,81
186,eMBB,127
187,eMBB,161
188,eMBB,145
189,eMBB,179
190,eMBB,120
191,eMBB,173
